Ruolo;Calciatore;Squadra;Quotazione
P;Sommer;Inter;15
P;Maignan;Milan;14
P;Meret;Napoli;14
P;"Di Gregorio";Juventus;13
P;Svilar;Roma;13
P;Carnesecchi;Atalanta;12
P;Skorupski;Bologna;11
P;"De Gea";Fiorentina;11
P;Milinkovic;Napoli;10
P;Suzuki;Parma;9
P;Provedel;Lazio;8
P;Butez;Como;7
P;Falcone;Lecce;7
P;Montipo;Verona;7
P;Leali;Genoa;6
P;Israel;Torino;6
P;Caprile;Cagliari;5
P;Turati;Sassuolo;5
P;Okoye;Udinese;4
P;Fulignati;;4
P;Semper;Pisa;4
P;Sava;Udinese;4
P;Mandas;Lazio;3
P;Audero;Cremonese;1
P;Boer;;1
P;Christensen;;1
P;Ciocci;Cagliari;1
P;Corvi;Parma;1
P;"Di Gennaro";Inter;1
P;"Donnarumma Ant.";;1
P;Fruchtl;Lecce;1
P;Furlanetto;Lazio;1
P;Gollini;Roma;1
P;Loria;Pisa;1
P;Magro;Verona;1
P;Martinelli;Fiorentina;1
P;"Martinez J.";Inter;1
P;Padelli;Udinese;1
P;Paleari;Torino;1
P;Perilli;Verona;1
P;Perin;Juventus;1
P;Piana;;1
P;Pinsoglio;Juventus;1
P;Radunovic;Cagliari;1
P;Ravaglia;Bologna;1
P;Rinaldi;Parma;1
P;"Rossi Fr.";Atalanta;1
P;"Russo A.";Sassuolo;1
P;Samooja;Lecce;1
P;Saro;Cremonese;1
P;Satalino;Sassuolo;1
P;Scuffet;Pisa;1
P;Siegrist;Genoa;1
P;Sommariva;Genoa;1
P;Sportiello;Atalanta;1
P;Terracciano;Milan;1
P;Torriani;Milan;1
P;Turi;Napoli;1
P;Vigorito;Como;1
P;Contini;Napoli;1
P;Livieri;Pisa;1
P;Nicolas;Pisa;1
P;Nava;Cremonese;1
P;Iliev;Cagliari;1
P;Zelezny;Roma;1
P;"Pessina M.";Bologna;1
P;Sgarbi;Como;1
P;"Vasquez D.";Roma;1
P;Lezzerini;Fiorentina;1
P;Nunziante;Udinese;1
P;Popa;Torino;1
D;Dumfries;Inter;16
D;"Bastoni A.";Inter;15
D;Buongiorno;Napoli;15
D;Dimarco;Inter;14
D;Gosens;Fiorentina;14
D;Bremer;Juventus;13
D;Mancini;Roma;13
D;Acerbi;Inter;12
D;Bellanova;Atalanta;12
D;Kalulu;Juventus;12
D;Ndicka;Roma;12
D;Angelino;Roma;11
D;Dodo;Fiorentina;11
D;Lucumi;Bologna;11
D;Tavares;Lazio;11
D;Zortea;Cagliari;10
D;Beukema;Napoli;10
D;"Di Lorenzo";Napoli;10
D;Rrahmani;Napoli;10
D;"Carlos Augusto";Inter;9
D;Djimsiti;Atalanta;9
D;Gila;Lazio;9
D;Hien;Atalanta;9
D;Luperto;Cagliari;9
D;Pavard;Inter;9
D;Solet;Udinese;9
D;Vasquez;Genoa;9
D;Cambiaso;Juventus;8
D;Delprato;Parma;8
D;Gabbia;Milan;8
D;Kolasinac;Atalanta;8
D;Leoni;Parma;8
D;Maripan;Torino;8
D;Martin;Genoa;8
D;Marusic;Lazio;8
D;Mina;Cagliari;8
D;Olivera;Napoli;8
D;Pavlovic;Milan;8
D;Pongracic;Fiorentina;8
D;Ranieri;Fiorentina;8
D;"Romagnoli A.";Lazio;8
D;Tchatchoua;Verona;8
D;Kossounou;Atalanta;8
D;Ostigard;Genoa;8
D;Gaspar;Lecce;7
D;Gatti;Juventus;7
D;Spinazzola;Napoli;7
D;Bisseck;Inter;7
D;"De Winter";Genoa;7
D;Holm;Bologna;7
D;Ismajli;Torino;7
D;Kamara;Udinese;7
D;Lazaro;Torino;7
D;"Miranda J.";Bologna;7
D;Tomori;Milan;7
D;Vitik;Bologna;7
D;Zappacosta;Atalanta;7
D;Estupinan;Milan;7
D;Wesley;Roma;7
D;Baschirotto;Cremonese;6
D;Biraghi;Torino;6
D;Coco;Torino;6
D;Comuzzo;Fiorentina;6
D;Costa;;6
D;Gallo;Lecce;6
D;Ghilardi;Roma;6
D;Guilbert;Lecce;6
D;Kempf;Como;6
D;"Pellegrini Lu.";Lazio;6
D;Valeri;Parma;6
D;Valle;Como;6
D;Zappa;Cagliari;6
D;"Joao Mario";Juventus;6
D;Ramon;Como;6
D;Cuadrado;Pisa;6
D;Idzes;Sassuolo;6
D;Ahanor;Atalanta;5
D;Azzi;Cremonese;5
